resultId,raceId,teamId,driverId,grid,positionText,points,year,round
297,18,3,31,8,Ret,0,2023,15
298,18,1,77,16,Ret,0,2023,15
299,18,2,22,15,Ret,0,2023,15
300,18,4,18,DNF,DNS,0,2023,15
301,4,9,1,1,1,26,2023,16
302,4,7,4,3,2,18,2023,16
303,4,7,81,2,3,15,2023,16
304,4,5,16,4,4,12,2023,16
305,4,8,44,7,5,10,2023,16
306,4,5,55,6,6,8,2023,16
307,4,8,63,8,7,6,2023,16
308,4,4,14,10,8,4,2023,16
309,4,3,31,14,9,2,2023,16
310,4,3,10,12,10,1,2023,16
311,4,2,40,11,11,0,2023,16
312,4,2,22,9,12,0,2023,16
313,4,1,24,19,13,0,2023,16
314,4,6,27,18,14,0,2023,16
315,4,6,20,15,15,0,2023,16
316,4,10,23,13,Ret,0,2023,16
317,4,10,2,PL,Ret,0,2023,16
318,4,4,18,17,Ret,0,2023,16
319,4,9,11,5,Ret,0,2023,16
320,4,1,77,16,Ret,0,2023,16
321,23,9,1,1,1,26,2023,17
322,23,7,81,6,2,18,2023,17
323,23,7,4,10,3,15,2023,17
324,23,8,63,2,4,12,2023,17
325,23,5,16,5,5,10,2023,17
326,23,4,14,4,6,8,2023,17
327,23,3,31,8,7,6,2023,17
328,23,1,77,9,8,4,2023,17
329,23,1,24,19,9,2,2023,17
330,23,9,11,PL,10,1,2023,17
331,23,4,18,16,11,0,2023,17
332,23,3,10,7,12,0,2023,17
333,23,10,23,13,13,0,2023,17
334,23,6,20,18,14,0,2023,17
335,23,2,22,11,15,0,2023,17
336,23,6,27,14,16,0,2023,17
337,23,2,40,17,17,0,2023,17
338,23,10,2,15,Ret,0,2023,17
339,23,8,44,3,Ret,0,2023,17
340,23,5,55,12,DNS,0,2023,17
341,19,9,1,6,1,25,2023,18
342,19,7,4,2,2,18,2023,18
343,19,5,55,4,3,15,2023,18
344,19,9,11,9,4,12,2023,18
345,19,8,63,5,5,10,2023,18
346,19,3,10,7,6,8,2023,18
347,19,4,18,PL,7,6,2023,18
348,19,2,22,11,8,5,2023,18
349,19,10,23,15,9,2,2023,18
350,19,10,2,16,10,1,2023,18
351,19,6,27,PL,11,0,2023,18
352,19,1,77,13,12,0,2023,18
353,19,1,24,12,13,0,2023,18
354,19,6,20,PL,14,0,2023,18
355,19,2,3,14,15,0,2023,18
356,19,4,14,PL,Ret,0,2023,18
357,19,7,81,10,Ret,0,2023,18
358,19,3,31,8,Ret,0,2023,18
359,19,8,44,3,DSQ,0,2023,18
360,19,5,16,1,DSQ,0,2023,18
361,20,9,1,3,1,25,2023,19
362,20,8,44,6,2,19,2023,19
363,20,5,16,1,3,15,2023,19
364,20,5,55,2,4,12,2023,19
365,20,7,4,17,5,10,2023,19
366,20,8,63,8,6,8,2023,19
367,20,2,3,4,7,6,2023,19
368,20,7,81,7,8,4,2023,19
369,20,10,23,14,9,2,2023,19
370,20,3,31,15,10,1,2023,19
371,20,3,10,11,11,0,2023,19
372,20,2,22,18,12,0,2023,19
373,20,6,27,12,13,0,2023,19
374,20,1,24,10,14,0,2023,19
375,20,1,77,9,15,0,2023,19
376,20,10,2,19,16,0,2023,19
377,20,4,18,PL,17,0,2023,19
378,20,4,14,13,Ret,0,2023,19
379,20,6,20,16,Ret,0,2023,19
380,20,9,11,5,Ret,0,2023,19
381,21,9,1,1,1,25,2023,20
382,21,7,4,6,2,19,2023,20
383,21,4,14,4,3,15,2023,20
384,21,9,11,9,4,12,2023,20
385,21,4,18,3,5,10,2023,20
386,21,5,55,7,6,8,2023,20
387,21,3,10,15,7,6,2023,20
388,21,8,44,5,8,4,2023,20
389,21,2,22,16,9,2,2023,20
390,21,3,31,14,10,1,2023,20
391,21,10,2,19,11,0,2023,20
392,21,6,27,11,12,0,2023,20
393,21,2,3,17,13,0,2023,20
394,21,7,81,10,14,0,2023,20
395,21,8,63,8,Ret,0,2023,20
396,21,1,77,18,Ret,0,2023,20
397,21,1,24,20,Ret,0,2023,20
398,21,6,20,12,Ret,0,2023,20
399,21,10,23,13,Ret,0,2023,20
400,21,5,16,2,DNS,0,2023,20
401,22,9,1,2,1,25,2023,21
402,22,5,16,1,2,18,2023,21
403,22,9,11,11,3,15,2023,21
404,22,3,31,16,4,12,2023,21
405,22,4,18,19,5,10,2023,21
406,22,5,55,12,6,8,2023,21
407,22,8,44,10,7,6,2023,21
408,22,8,63,3,8,4,2023,21
409,22,4,14,9,9,2,2023,21
410,22,7,81,18,10,2,2023,21
411,22,3,10,4,11,0,2023,21
412,22,10,23,5,12,0,2023,21
413,22,6,20,8,13,0,2023,21
414,22,2,3,14,14,0,2023,21
415,22,1,24,17,15,0,2023,21
416,22,10,2,6,16,0,2023,21
417,22,1,77,7,17,0,2023,21
418,22,2,22,20,18,0,2023,21
419,22,6,27,13,19,0,2023,21
420,22,7,4,15,Ret,0,2023,21
421,24,9,1,1,1,26,2023,22
422,24,5,16,2,2,18,2023,22
423,24,8,63,4,3,15,2023,22
424,24,9,11,9,4,12,2023,22
425,24,7,4,5,5,10,2023,22
426,24,7,81,3,6,8,2023,22
427,24,4,14,7,7,6,2023,22
428,24,2,22,6,8,4,2023,22
429,24,8,44,11,9,2,2023,22
430,24,4,18,13,10,1,2023,22
431,24,2,3,15,11,0,2023,22
432,24,3,31,12,12,0,2023,22
433,24,3,10,10,13,0,2023,22
434,24,10,23,14,14,0,2023,22
435,24,6,27,8,15,0,2023,22
436,24,10,2,20,16,0,2023,22
437,24,1,24,19,17,0,2023,22
438,24,5,55,16,18,0,2023,22
439,24,1,77,18,19,0,2023,22
440,24,6,20,17,20,0,2023,22
441,1,9,1,1,1,26,2024,1
442,1,9,11,5,2,18,2024,1
443,1,5,55,4,3,15,2024,1
444,1,5,16,2,4,12,2024,1
445,1,8,63,3,5,10,2024,1
446,1,7,4,7,6,8,2024,1
447,1,8,44,9,7,6,2024,1
448,1,7,81,8,8,4,2024,1
449,1,4,14,6,9,2,2024,1
450,1,4,18,12,10,1,2024,1
451,1,11,24,17,11,0,2024,1
452,1,6,20,15,12,0,2024,1
453,1,12,3,14,13,0,2024,1
454,1,12,22,11,14,0,2024,1
455,1,10,23,13,15,0,2024,1
456,1,6,27,10,16,0,2024,1
457,1,3,31,19,17,0,2024,1
458,1,3,10,20,18,0,2024,1
459,1,11,77,16,19,0,2024,1
460,1,10,2,18,20,0,2024,1
461,2,9,1,1,1,25,2024,2
462,2,9,11,3,2,18,2024,2
463,2,5,16,2,3,16,2024,2
464,2,7,81,5,4,12,2024,2
465,2,4,14,4,5,10,2024,2
466,2,8,63,7,6,8,2024,2
467,2,5,38,11,7,6,2024,2
468,2,7,4,6,8,4,2024,2
469,2,8,44,8,9,2,2024,2
470,2,6,27,15,10,1,2024,2
471,2,10,23,12,11,0,2024,2
472,2,6,20,13,12,0,2024,2
473,2,3,31,17,13,0,2024,2
474,2,10,2,19,14,0,2024,2
475,2,12,22,9,15,0,2024,2
476,2,12,3,14,16,0,2024,2
477,2,11,77,16,17,0,2024,2
478,2,11,24,20,18,0,2024,2
479,2,4,18,10,Ret,0,2024,2
480,2,3,10,18,Ret,0,2024,2
481,3,5,55,2,1,25,2024,3
482,3,5,16,4,2,19,2024,3
483,3,7,4,3,3,15,2024,3
484,3,7,81,5,4,12,2024,3
485,3,9,11,6,5,10,2024,3
486,3,4,18,9,6,8,2024,3
487,3,12,22,8,7,6,2024,3
488,3,4,14,10,8,4,2024,3
489,3,6,27,16,9,2,2024,3
490,3,6,20,14,10,1,2024,3
491,3,10,23,12,11,0,2024,3
492,3,12,3,18,12,0,2024,3
493,3,3,10,17,13,0,2024,3
494,3,11,77,13,14,0,2024,3
495,3,11,24,PL,15,0,2024,3
496,3,3,31,15,16,0,2024,3
497,3,8,63,7,17,0,2024,3
498,3,8,44,11,Ret,0,2024,3
499,3,9,1,1,Ret,0,2024,3
500,4,9,1,1,1,26,2024,4
501,4,9,11,2,2,18,2024,4
502,4,5,55,4,3,15,2024,4
503,4,5,16,8,4,12,2024,4
504,4,7,4,3,5,10,2024,4
505,4,4,14,5,6,8,2024,4
506,4,8,63,9,7,6,2024,4
507,4,7,81,6,8,4,2024,4
508,4,8,44,7,9,2,2024,4
509,4,12,22,10,10,1,2024,4
510,4,6,27,12,11,0,2024,4
511,4,4,18,16,12,0,2024,4
512,4,6,20,18,13,0,2024,4
513,4,11,77,13,14,0,2024,4
514,4,3,31,15,15,0,2024,4
515,4,3,10,17,16,0,2024,4
516,4,10,2,19,17,0,2024,4
517,4,11,24,20,Ret,0,2024,4
518,4,12,3,11,Ret,0,2024,4
519,4,10,23,14,Ret,0,2024,4
520,5,9,1,1,1,25,2024,5
521,5,7,4,4,2,18,2024,5
522,5,9,11,2,3,15,2024,5
523,5,5,16,6,4,12,2024,5
524,5,5,55,7,5,10,2024,5
525,5,8,63,8,6,8,2024,5
526,5,4,14,3,7,7,2024,5
527,5,7,81,5,8,4,2024,5
528,5,8,44,18,9,2,2024,5
529,5,6,27,9,10,1,2024,5
530,5,3,31,13,11,0,2024,5
531,5,10,23,14,12,0,2024,5
532,5,3,10,15,13,0,2024,5
533,5,11,24,16,14,0,2024,5
534,5,4,18,11,15,0,2024,5
535,5,6,20,17,16,0,2024,5
536,5,10,2,PL,17,0,2024,5
537,5,12,3,12,Ret,0,2024,5
538,5,12,22,19,Ret,0,2024,5
539,5,11,77,10,Ret,0,2024,5
540,6,7,4,5,1,25,2024,6
541,6,9,1,1,2,18,2024,6
542,6,5,16,2,3,15,2024,6
543,6,9,11,4,4,12,2024,6
544,6,5,55,3,5,10,2024,6
545,6,8,44,8,6,8,2024,6
546,6,12,22,10,7,6,2024,6
547,6,8,63,7,8,4,2024,6
548,6,4,14,15,9,2,2024,6
549,6,3,31,13,10,1,2024,6
550,6,6,27,9,11,0,2024,6
551,6,3,10,12,12,0,2024,6
552,6,7,81,6,13,0,2024,6
553,6,11,24,19,14,0,2024,6
554,6,12,3,20,15,0,2024,6
555,6,11,77,16,16,0,2024,6
556,6,4,18,11,17,0,2024,6
557,6,10,23,14,18,0,2024,6
558,6,6,20,18,19,0,2024,6
559,6,10,2,17,Ret,0,2024,6
560,7,9,1,1,1,25,2024,7
561,7,7,4,2,2,18,2024,7
562,7,5,16,3,3,15,2024,7
563,7,7,81,5,4,12,2024,7
564,7,5,55,4,5,10,2024,7
565,7,8,44,8,6,8,2024,7
566,7,8,63,6,7,7,2024,7
567,7,9,11,11,8,4,2024,7
568,7,4,18,13,9,2,2024,7
569,7,12,22,7,10,1,2024,7
570,7,6,27,10,11,0,2024,7
571,7,6,20,18,12,0,2024,7
572,7,12,3,9,13,0,2024,7
573,7,3,31,12,14,0,2024,7
574,7,11,24,17,15,0,2024,7
575,7,3,10,15,16,0,2024,7
576,7,10,2,19,17,0,2024,7
577,7,11,77,16,18,0,2024,7
578,7,4,14,PL,19,0,2024,7
579,7,10,23,14,Ret,0,2024,7
580,8,5,16,1,1,25,2024,8
581,8,7,81,2,2,18,2024,8
582,8,5,55,3,3,15,2024,8
583,8,7,4,4,4,12,2024,8
584,8,8,63,5,5,10,2024,8
585,8,9,1,6,6,8,2024,8
586,8,8,44,7,7,7,2024,8
587,8,12,22,8,8,4,2024,8
588,8,10,23,9,9,2,2024,8
589,8,3,10,10,10,1,2024,8
590,8,4,14,14,11,0,2024,8
591,8,12,3,12,12,0,2024,8
592,8,11,77,17,13,0,2024,8
593,8,4,18,13,14,0,2024,8
594,8,10,2,15,15,0,2024,8
595,8,11,24,18,16,0,2024,8
596,8,3,31,11,Ret,0,2024,8
597,8,9,11,16,Ret,0,2024,8
598,8,6,27,19,Ret,0,2024,8
599,8,6,20,20,Ret,0,2024,8
600,9,9,1,2,1,25,2024,9
601,9,7,4,3,2,18,2024,9
602,9,8,63,1,3,15,2024,9
603,9,8,44,7,4,13,2024,9
604,9,7,81,4,5,10,2024,9
605,9,4,14,6,6,8,2024,9
606,9,4,18,9,7,6,2024,9
607,9,12,3,5,8,4,2024,9
608,9,3,10,15,9,2,2024,9
609,9,3,31,18,10,1,2024,9
610,9,6,27,17,11,0,2024,9
611,9,6,20,14,12,0,2024,9
612,9,11,77,PL,13,0,2024,9
613,9,12,22,8,14,0,2024,9
614,9,11,24,PL,15,0,2024,9
615,9,5,55,12,Ret,0,2024,9
616,9,10,23,10,Ret,0,2024,9
617,9,9,11,16,Ret,0,2024,9
618,9,5,16,11,Ret,0,2024,9
619,9,10,2,13,Ret,0,2024,9
620,10,9,1,2,1,25,2024,10
621,10,7,4,1,2,19,2024,10
622,10,8,44,3,3,15,2024,10
623,10,8,63,4,4,12,2024,10
624,10,5,16,5,5,10,2024,10
625,10,5,55,6,6,8,2024,10
626,10,7,81,9,7,6,2024,10
627,10,9,11,11,8,4,2024,10
628,10,3,10,7,9,2,2024,10
629,10,3,31,8,10,1,2024,10
630,10,6,27,13,11,0,2024,10
631,10,4,14,10,12,0,2024,10
632,10,11,24,15,13,0,2024,10
633,10,4,18,14,14,0,2024,10
634,10,12,3,18,15,0,2024,10
635,10,11,77,12,16,0,2024,10
636,10,6,20,16,17,0,2024,10
637,10,10,23,PL,18,0,2024,10
638,10,12,22,17,19,0,2024,10
639,10,10,2,19,20,0,2024,10
640,11,8,63,3,1,25,2024,11
641,11,7,81,7,2,18,2024,11
642,11,5,55,4,3,15,2024,11
643,11,8,44,5,4,12,2024,11
644,11,9,1,1,5,10,2024,11
645,11,6,27,9,6,8,2024,11
